name,url,description,duration,remote_support,adaptive_support,test_type
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Account Manager Solution : The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution: The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this…,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"Apprentice 8.0 Job Focused Assessment: The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions…",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form: This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple…,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Bank Operations Supervisor - Short Form: The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks…,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution: The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include…,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form: The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and…",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,"Cashier Solution: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased…",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,"Global Skills Development Report : This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this…",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,".NET MVC (New): Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,".NET MVVM (New): Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,".NET WCF (New): Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Accounts Payable Simulation (New): Simulated data entry test that measures the ability to process payables and vendor invoices.,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Accounts Receivable (New): Multiple-choice test that measures the knowledge of processing receivables and invoices.,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Accounts Receivable Simulation (New): Simulated data entry test that measures the ability to process receivables and invoices.,15,Yes,No,"[""Ability & Aptitude"", ""Biodata & Situational Judgement"", ""Competencies"", ""Development & 360"", ""Assessment Exercises"", ""Knowledge & Skills"", ""Personality & Behavior"", ""Simulations""]"
